Poll,Date,Support,not legal,unsure,Not Support,
Pew,3/1/2013,49,44,8,52,
NBC/Wall St. Journal,4/1/2013,53,42,5,47,
CBS,5/1/2013,51,44,5,49,
ABC,5/1/2013,55,40,5,45,
Gallup,5/1/2013,53,45,3,48,
Pew,5/1/2013,51,42,8,50,
ABC,6/1/2013,57,40,3,43,
Quinnipiac,6/1/2013,49,44,6,50,
CNN/ORC,6/1/2013,55,44,2,46,
CBS,7/1/2013,55,39,6,45,
Gallup,7/1/2013,54,43,3,46,
PRRI,11/1/2013,53,41,5,46,
CBS,2/1/2014,56,39,4,43,
ABC,2/1/2014,59,34,7,41,
ABC,5/1/2014,56,38,6,44,
Gallup,5/1/2014,55,42,3,45,
CBS,7/1/2014,53,40,7,47,
CBS,9/1/2014,56,37,7,44,
CBS,2/1/2015,60,35,5,40,
NBC/Wall St. Journal,3/1/2015,59,33,8,41,
Fit Line,6/1/1996,27,,,,
Fit Line,3/1/2001,35,,,,
Fit Line,9/1/2003,37,,,,
Fit Line,1/1/2004,41,,,,
Fit Line,2/1/2004,39,,,,
Fit Line,3/1/2004,30,,,,
Fit Line,3/1/2004,38,,,,
Fit Line,8/1/2005,39,,,,
Fit Line,5/1/2006,42,,,,
Fit Line,5/1/2006,36,,,,
Fit Line,5/1/2007,46,,,,
Fit Line,5/1/2008,40,,,,
Fit Line,5/1/2008,38,,,,
Fit Line,5/1/2008,38,,,,
Fit Line,6/1/2008,40,,,,
Fit Line,6/1/2008,44,,,,
Fit Line,6/1/2008,40,,,,
Fit Line,8/1/2008,39,,,,
Fit Line,8/1/2008,39,,,,
Fit Line,12/1/2008,44,,,,
Fit Line,4/1/2009,35,,,,
Fit Line,4/1/2009,38,,,,
Fit Line,4/1/2009,44,,,,
Fit Line,4/1/2009,35,,,,
Fit Line,4/1/2009,49,,,,
Fit Line,5/1/2009,40,,,,
Fit Line,8/1/2009,39,,,,
Fit Line,8/1/2009,39,,,,
Fit Line,10/1/2009,41,,,,
Fit Line,2/1/2010,47,,,,
Fit Line,5/1/2010,44,,,,
Fit Line,7/1/2010,41,,,,
Fit Line,7/1/2010,41,,,,
Fit Line,8/1/2010,43,,,,
Fit Line,8/1/2010,43,,,,
Fit Line,2/1/2011,45,,,,
Fit Line,2/1/2011,45,,,,
Fit Line,3/1/2011,53,,,,
Fit Line,4/1/2011,51,,,,
Fit Line,5/1/2011,53,,,,
Fit Line,7/1/2011,46,,,,
Fit Line,7/1/2011,51,,,,
Fit Line,9/1/2011,53,,,,
Fit Line,12/1/2011,48,,,,
Fit Line,3/1/2012,49,,,,
Fit Line,3/1/2012,52,,,,
Fit Line,4/1/2012,47,,,,
Fit Line,4/1/2012,47,,,,
Fit Line,5/1/2012,50,,,,
Fit Line,5/1/2012,54,,,,
Fit Line,5/1/2012,53,,,,
Fit Line,6/1/2012,48,,,,
Fit Line,6/1/2012,48,,,,
Fit Line,6/1/2012,48,,,,
Fit Line,6/1/2012,48,,,,
Fit Line,7/1/2012,46,,,,
Fit Line,7/1/2012,53,,,,
Fit Line,9/1/2012,51,,,,
Fit Line,10/1/2012,49,,,,
Fit Line,10/1/2012,49,,,,
Fit Line,10/1/2012,42,,,,
Fit Line,11/1/2012,51,,,,
Fit Line,11/1/2012,53,,,,
Fit Line,12/1/2012,51,,,,
Fit Line,2/1/2013,54,,,,
Fit Line,2/1/2013,54,,,,
Fit Line,2/1/2013,46,,,,
Fit Line,3/1/2013,53,,,,
Fit Line,3/1/2013,49,,,,
Fit Line,3/1/2013,53,,,,
Fit Line,3/1/2013,58,,,,
Fit Line,3/1/2013,49,,,,
Fit Line,3/1/2013,49,,,,
Fit Line,4/1/2013,53,,,,
Fit Line,5/1/2013,51,,,,
Fit Line,5/1/2013,55,,,,
Fit Line,5/1/2013,53,,,,
Fit Line,5/1/2013,51,,,,
Fit Line,6/1/2013,57,,,,
Fit Line,6/1/2013,49,,,,
Fit Line,6/1/2013,55,,,,
Fit Line,7/1/2013,55,,,,
Fit Line,7/1/2013,54,,,,
Fit Line,11/1/2013,53,,,,
Fit Line,2/1/2014,56,,,,
Fit Line,2/1/2014,59,,,,
Fit Line,5/1/2014,56,,,,
Fit Line,5/1/2014,55,,,,
Fit Line,7/1/2014,53,,,,
Fit Line,9/1/2014,56,,,,
Fit Line,2/1/2015,60,,,,
Fit Line,3/1/2015,59,,,,
