County,County Code,Delivery Method,Delivery Method Code,Births
Unidentified Counties AR,5999,Vaginal,1,15559
Unidentified Counties AR,5999,Cesarean,2,8491
Unidentified Counties AR,5999,Not Stated,9,137
Alameda County CA,6001,Vaginal,1,13527
Alameda County CA,6001,Cesarean,2,5730
Butte County CA,6007,Vaginal,1,1712
Butte County CA,6007,Cesarean,2,703
Contra Costa County CA,6013,Vaginal,1,8747
Contra Costa County CA,6013,Cesarean,2,3407
El Dorado County CA,6017,Vaginal,1,1100
El Dorado County CA,6017,Cesarean,2,434
Fresno County CA,6019,Vaginal,1,10286
Fresno County CA,6019,Cesarean,2,5451
Humboldt County CA,6023,Vaginal,1,1152
Humboldt County CA,6023,Cesarean,2,379
Imperial County CA,6025,Vaginal,1,1894
Imperial County CA,6025,Cesarean,2,1200
Kern County CA,6029,Vaginal,1,10222
Kern County CA,6029,Cesarean,2,3927
Kings County CA,6031,Vaginal,1,1474
Kings County CA,6031,Cesarean,2,920
Los Angeles County CA,6037,Vaginal,1,80735
Los Angeles County CA,6037,Cesarean,2,47861
Madera County CA,6039,Vaginal,1,1510
Madera County CA,6039,Cesarean,2,805
Marin County CA,6041,Vaginal,1,1696
Marin County CA,6041,Cesarean,2,625
Merced County CA,6047,Vaginal,1,2670
Merced County CA,6047,Cesarean,2,1492
Monterey County CA,6053,Vaginal,1,4663
Monterey County CA,6053,Cesarean,2,1884
Napa County CA,6055,Vaginal,1,1045
Napa County CA,6055,Cesarean,2,405
Orange County CA,6059,Vaginal,1,24284
Orange County CA,6059,Cesarean,2,12997
Placer County CA,6061,Vaginal,1,2683
Placer County CA,6061,Cesarean,2,1005
Riverside County CA,6065,Vaginal,1,19986
Riverside County CA,6065,Cesarean,2,9955
Sacramento County CA,6067,Vaginal,1,13864
Sacramento County CA,6067,Cesarean,2,5507
San Bernardino County CA,6071,Vaginal,1,20079
San Bernardino County CA,6071,Cesarean,2,10167
San Diego County CA,6073,Vaginal,1,28851
San Diego County CA,6073,Cesarean,2,14808
San Francisco County CA,6075,Vaginal,1,6457
San Francisco County CA,6075,Cesarean,2,2357
San Joaquin County CA,6077,Vaginal,1,6642
San Joaquin County CA,6077,Cesarean,2,3158
San Luis Obispo County CA,6079,Vaginal,1,1848
San Luis Obispo County CA,6079,Cesarean,2,802
San Mateo County CA,6081,Vaginal,1,6328
San Mateo County CA,6081,Cesarean,2,2496
Santa Barbara County CA,6083,Vaginal,1,3943
Santa Barbara County CA,6083,Cesarean,2,1812
Santa Clara County CA,6085,Vaginal,1,16037
Santa Clara County CA,6085,Cesarean,2,7276
Santa Cruz County CA,6087,Vaginal,1,2047
Santa Cruz County CA,6087,Cesarean,2,824
Shasta County CA,6089,Vaginal,1,1386
Shasta County CA,6089,Cesarean,2,757
Solano County CA,6095,Vaginal,1,3818
Solano County CA,6095,Cesarean,2,1441
Sonoma County CA,6097,Vaginal,1,3694
Sonoma County CA,6097,Cesarean,2,1289
Stanislaus County CA,6099,Vaginal,1,5107
Stanislaus County CA,6099,Cesarean,2,2472
Tulare County CA,6107,Vaginal,1,4921
Tulare County CA,6107,Cesarean,2,2732
Ventura County CA,6111,Vaginal,1,6990
Ventura County CA,6111,Cesarean,2,3456
Yolo County CA,6113,Vaginal,1,1852
Yolo County CA,6113,Cesarean,2,639
Unidentified Counties CA,6999,Vaginal,1,7078
Unidentified Counties CA,6999,Cesarean,2,3202
Adams County CO,8001,Vaginal,1,5086
Adams County CO,8001,Cesarean,2,1443
Arapahoe County CO,8005,Vaginal,1,5522
Arapahoe County CO,8005,Cesarean,2,2154
Boulder County CO,8013,Vaginal,1,2222
Boulder County CO,8013,Cesarean,2,693
Denver County CO,8031,Vaginal,1,7423
Denver County CO,8031,Cesarean,2,2582
Douglas County CO,8035,Vaginal,1,2433
Douglas County CO,8035,Cesarean,2,1036
El Paso County CO,8041,Vaginal,1,7137
El Paso County CO,8041,Cesarean,2,2001
Jefferson County CO,8059,Vaginal,1,4175
Jefferson County CO,8059,Cesarean,2,1650
Larimer County CO,8069,Vaginal,1,2342
Larimer County CO,8069,Cesarean,2,1031
Mesa County CO,8077,Vaginal,1,1435
Mesa County CO,8077,Cesarean,2,374
Pueblo County CO,8101,Vaginal,1,1420
Pueblo County CO,8101,Cesarean,2,436
Weld County CO,8123,Vaginal,1,2773
Weld County CO,8123,Cesarean,2,1146
Unidentified Counties CO,8999,Vaginal,1,6130
Unidentified Counties CO,8999,Cesarean,2,2361
Fairfield County CT,9001,Vaginal,1,6166
Fairfield County CT,9001,Cesarean,2,3859
Fairfield County CT,9001,Not Stated,9,27
Hartford County CT,9003,Vaginal,1,6121
Hartford County CT,9003,Cesarean,2,3127
Hartford County CT,9003,Not Stated,9,67
Litchfield County CT,9005,Vaginal,1,919
Litchfield County CT,9005,Cesarean,2,504
Middlesex County CT,9007,Vaginal,1,883
Middlesex County CT,9007,Cesarean,2,481
New Haven County CT,9009,Vaginal,1,6046
New Haven County CT,9009,Cesarean,2,2908
New Haven County CT,9009,Not Stated,9,23
New London County CT,9011,Vaginal,1,1714
New London County CT,9011,Cesarean,2,902
New London County CT,9011,Not Stated,9,45
Tolland County CT,9013,Vaginal,1,741
Tolland County CT,9013,Cesarean,2,336
Windham County CT,9015,Vaginal,1,818
Windham County CT,9015,Cesarean,2,367
Windham County CT,9015,Not Stated,9,13
Kent County DE,10001,Vaginal,1,1506
Kent County DE,10001,Cesarean,2,617
New Castle County DE,10003,Vaginal,1,4411
New Castle County DE,10003,Cesarean,2,2095
Sussex County DE,10005,Vaginal,1,1502
Sussex County DE,10005,Cesarean,2,699
District of Columbia DC,11001,Vaginal,1,6111
District of Columbia DC,11001,Cesarean,2,3176
Alachua County FL,12001,Vaginal,1,1948
Alachua County FL,12001,Cesarean,2,878
Bay County FL,12005,Vaginal,1,1559
Bay County FL,12005,Cesarean,2,681
Brevard County FL,12009,Vaginal,1,3494
Brevard County FL,12009,Cesarean,2,1589
Broward County FL,12011,Vaginal,1,12537
Broward County FL,12011,Cesarean,2,9021
Charlotte County FL,12015,Vaginal,1,652
Charlotte County FL,12015,Cesarean,2,372
Citrus County FL,12017,Vaginal,1,720
Citrus County FL,12017,Cesarean,2,301
Clay County FL,12019,Vaginal,1,1427
Clay County FL,12019,Cesarean,2,657
Collier County FL,12021,Vaginal,1,1859
Collier County FL,12021,Cesarean,2,1297
Duval County FL,12031,Vaginal,1,8328
Duval County FL,12031,Cesarean,2,4226
Duval County FL,12031,Not Stated,9,24
Escambia County FL,12033,Vaginal,1,2609
Escambia County FL,12033,Cesarean,2,1202
Hernando County FL,12053,Vaginal,1,961
Hernando County FL,12053,Cesarean,2,524
Hillsborough County FL,12057,Vaginal,1,10643
Hillsborough County FL,12057,Cesarean,2,5972
Hillsborough County FL,12057,Not Stated,9,10
Indian River County FL,12061,Vaginal,1,799
Indian River County FL,12061,Cesarean,2,421
Lake County FL,12069,Vaginal,1,1924
Lake County FL,12069,Cesarean,2,1155
Lee County FL,12071,Vaginal,1,3972
Lee County FL,12071,Cesarean,2,2431
Leon County FL,12073,Vaginal,1,2059
Leon County FL,12073,Cesarean,2,951
Manatee County FL,12081,Vaginal,1,2256
Manatee County FL,12081,Cesarean,2,1122
Marion County FL,12083,Vaginal,1,2324
Marion County FL,12083,Cesarean,2,1016
Martin County FL,12085,Vaginal,1,818
Martin County FL,12085,Cesarean,2,357
Miami-Dade County FL,12086,Vaginal,1,15862
Miami-Dade County FL,12086,Cesarean,2,15316
Miami-Dade County FL,12086,Not Stated,9,11
Okaloosa County FL,12091,Vaginal,1,1859
Okaloosa County FL,12091,Cesarean,2,904
Orange County FL,12095,Vaginal,1,10238
Orange County FL,12095,Cesarean,2,5589
Osceola County FL,12097,Vaginal,1,2504
Osceola County FL,12097,Cesarean,2,1408
Palm Beach County FL,12099,Vaginal,1,8635
Palm Beach County FL,12099,Cesarean,2,5569
Pasco County FL,12101,Vaginal,1,2940
Pasco County FL,12101,Cesarean,2,1852
Pinellas County FL,12103,Vaginal,1,5752
Pinellas County FL,12103,Cesarean,2,2828
Polk County FL,12105,Vaginal,1,4896
Polk County FL,12105,Cesarean,2,2361
St. Johns County FL,12109,Vaginal,1,1335
St. Johns County FL,12109,Cesarean,2,656
St. Lucie County FL,12111,Vaginal,1,1785
St. Lucie County FL,12111,Cesarean,2,1205
Santa Rosa County FL,12113,Vaginal,1,1237
Santa Rosa County FL,12113,Cesarean,2,562
Sarasota County FL,12115,Vaginal,1,1795
Sarasota County FL,12115,Cesarean,2,1009
Seminole County FL,12117,Vaginal,1,2809
Seminole County FL,12117,Cesarean,2,1613
Volusia County FL,12127,Vaginal,1,2944
Volusia County FL,12127,Cesarean,2,1691
Unidentified Counties FL,12999,Vaginal,1,8582
Unidentified Counties FL,12999,Cesarean,2,4501
Bibb County GA,13021,Vaginal,1,1561
Bibb County GA,13021,Cesarean,2,769
Chatham County GA,13051,Vaginal,1,2408
Chatham County GA,13051,Cesarean,2,1482
Cherokee County GA,13057,Vaginal,1,1786
Cherokee County GA,13057,Cesarean,2,937
Clarke County GA,13059,Vaginal,1,966
Clarke County GA,13059,Cesarean,2,424
Clayton County GA,13063,Vaginal,1,2503
Clayton County GA,13063,Cesarean,2,1093
Clayton County GA,13063,Not Stated,9,12
Cobb County GA,13067,Vaginal,1,6020
Cobb County GA,13067,Cesarean,2,3304
DeKalb County GA,13089,Vaginal,1,7070
DeKalb County GA,13089,Cesarean,2,3735
DeKalb County GA,13089,Not Stated,9,23
Fulton County GA,13121,Vaginal,1,8642
Fulton County GA,13121,Cesarean,2,4505
Fulton County GA,13121,Not Stated,9,42
Gwinnett County GA,13135,Vaginal,1,7434
Gwinnett County GA,13135,Cesarean,2,3662
Hall County GA,13139,Vaginal,1,1726
Hall County GA,13139,Cesarean,2,740
Henry County GA,13151,Vaginal,1,1680
Henry County GA,13151,Cesarean,2,835
Houston County GA,13153,Vaginal,1,1273
Houston County GA,13153,Cesarean,2,717
Muscogee County GA,13215,Vaginal,1,2165
Muscogee County GA,13215,Cesarean,2,1030
Muscogee County GA,13215,Not Stated,9,14
Richmond County GA,13245,Vaginal,1,2211
Richmond County GA,13245,Cesarean,2,1086
Unidentified Counties GA,13999,Vaginal,1,37144
Unidentified Counties GA,13999,Cesarean,2,19601
Unidentified Counties GA,13999,Not Stated,9,109
Hawaii County HI,15001,Vaginal,1,1614
Hawaii County HI,15001,Cesarean,2,780
Hawaii County HI,15001,Not Stated,9,22
Honolulu County HI,15003,Vaginal,1,10411
Honolulu County HI,15003,Cesarean,2,3123
Honolulu County HI,15003,Not Stated,9,105
Maui County HI,15009,Vaginal,1,1446
Maui County HI,15009,Cesarean,2,604
Maui County HI,15009,Not Stated,9,10
Unidentified Counties HI,15999,Vaginal,1,623
Unidentified Counties HI,15999,Cesarean,2,234
Unidentified Counties HI,15999,Not Stated,9,15
Ada County ID,16001,Vaginal,1,3690
Ada County ID,16001,Cesarean,2,1291
Canyon County ID,16027,Vaginal,1,2309
Canyon County ID,16027,Cesarean,2,781
Kootenai County ID,16055,Vaginal,1,1287
Kootenai County ID,16055,Cesarean,2,423
Unidentified Counties ID,16999,Vaginal,1,9512
Unidentified Counties ID,16999,Cesarean,2,3084
Champaign County IL,17019,Vaginal,1,1528
Champaign County IL,17019,Cesarean,2,840
Champaign County IL,17019,Not Stated,9,18
Cook County IL,17031,Vaginal,1,47848
Cook County IL,17031,Cesarean,2,20834
Cook County IL,17031,Not Stated,9,248
DuPage County IL,17043,Vaginal,1,7040
DuPage County IL,17043,Cesarean,2,3516
DuPage County IL,17043,Not Stated,9,36
Kane County IL,17089,Vaginal,1,4474
Kane County IL,17089,Cesarean,2,2289
Kankakee County IL,17091,Vaginal,1,952
Kankakee County IL,17091,Cesarean,2,404
Lake County IL,17097,Vaginal,1,5298
Lake County IL,17097,Cesarean,2,2548
La Salle County IL,17099,Vaginal,1,774
La Salle County IL,17099,Cesarean,2,357
McHenry County IL,17111,Vaginal,1,2138
McHenry County IL,17111,Cesarean,2,1025
McLean County IL,17113,Vaginal,1,1310
McLean County IL,17113,Cesarean,2,831
Macon County IL,17115,Vaginal,1,869
Macon County IL,17115,Cesarean,2,479
Madison County IL,17119,Vaginal,1,2157
Madison County IL,17119,Cesarean,2,932
Peoria County IL,17143,Vaginal,1,1762
Peoria County IL,17143,Cesarean,2,905
Rock Island County IL,17161,Vaginal,1,1209
Rock Island County IL,17161,Cesarean,2,578
St. Clair County IL,17163,Vaginal,1,2303
St. Clair County IL,17163,Cesarean,2,1036
Sangamon County IL,17167,Vaginal,1,1692
Sangamon County IL,17167,Cesarean,2,615
Tazewell County IL,17179,Vaginal,1,1101
Tazewell County IL,17179,Cesarean,2,493
Will County IL,17197,Vaginal,1,4920
Will County IL,17197,Cesarean,2,2723
Winnebago County IL,17201,Vaginal,1,2348
Winnebago County IL,17201,Cesarean,2,1183
Unidentified Counties IL,17999,Vaginal,1,17199
Unidentified Counties IL,17999,Cesarean,2,8085
Unidentified Counties IL,17999,Not Stated,9,15
Allen County IN,18003,Vaginal,1,3713
Allen County IN,18003,Cesarean,2,1368
Delaware County IN,18035,Vaginal,1,1035
Delaware County IN,18035,Cesarean,2,243
Elkhart County IN,18039,Vaginal,1,2171
Elkhart County IN,18039,Cesarean,2,798
Hamilton County IN,18057,Vaginal,1,2602
Hamilton County IN,18057,Cesarean,2,1272
Hendricks County IN,18063,Vaginal,1,1151
Hendricks County IN,18063,Cesarean,2,571
Johnson County IN,18081,Vaginal,1,1302
Johnson County IN,18081,Cesarean,2,508
Lake County IN,18089,Vaginal,1,4092
Lake County IN,18089,Cesarean,2,1928
La Porte County IN,18091,Vaginal,1,874
La Porte County IN,18091,Cesarean,2,442
Madison County IN,18095,Vaginal,1,999
Madison County IN,18095,Cesarean,2,541
Marion County IN,18097,Vaginal,1,10046
Marion County IN,18097,Cesarean,2,4301
Monroe County IN,18105,Vaginal,1,903
Monroe County IN,18105,Cesarean,2,364
Porter County IN,18127,Vaginal,1,1213
Porter County IN,18127,Cesarean,2,555
St. Joseph County IN,18141,Vaginal,1,2512
St. Joseph County IN,18141,Cesarean,2,1046
Tippecanoe County IN,18157,Vaginal,1,1686
Tippecanoe County IN,18157,Cesarean,2,532
Vanderburgh County IN,18163,Vaginal,1,1454
Vanderburgh County IN,18163,Cesarean,2,810
Vigo County IN,18167,Vaginal,1,822
Vigo County IN,18167,Cesarean,2,462
Unidentified Counties IN,18999,Vaginal,1,21175
Unidentified Counties IN,18999,Cesarean,2,9593
Black Hawk County IA,19013,Vaginal,1,1293
Black Hawk County IA,19013,Cesarean,2,396
Johnson County IA,19103,Vaginal,1,1342
Johnson County IA,19103,Cesarean,2,425
Linn County IA,19113,Vaginal,1,1891
Linn County IA,19113,Cesarean,2,814
Polk County IA,19153,Vaginal,1,4625
Polk County IA,19153,Cesarean,2,2145
Scott County IA,19163,Vaginal,1,1633
Scott County IA,19163,Cesarean,2,637
Woodbury County IA,19193,Vaginal,1,1021
Woodbury County IA,19193,Cesarean,2,520
Unidentified Counties IA,19999,Vaginal,1,15250
Unidentified Counties IA,19999,Cesarean,2,7101
Johnson County KS,20091,Vaginal,1,5259
Johnson County KS,20091,Cesarean,2,2069
Sedgwick County KS,20173,Vaginal,1,5241
Sedgwick County KS,20173,Cesarean,2,2255
Shawnee County KS,20177,Vaginal,1,1598
Shawnee County KS,20177,Cesarean,2,758
Wyandotte County KS,20209,Vaginal,1,2027
Wyandotte County KS,20209,Cesarean,2,654
Unidentified Counties KS,20999,Vaginal,1,12968
Unidentified Counties KS,20999,Cesarean,2,6009
Fayette County KY,21067,Vaginal,1,2637
Fayette County KY,21067,Cesarean,2,1434
Jefferson County KY,21111,Vaginal,1,6479
Jefferson County KY,21111,Cesarean,2,3478
Kenton County KY,21117,Vaginal,1,1456
Kenton County KY,21117,Cesarean,2,828
Unidentified Counties KY,21999,Vaginal,1,24724
Unidentified Counties KY,21999,Cesarean,2,14615
Unidentified Counties KY,21999,Not Stated,9,33
Caddo Parish LA,22017,Vaginal,1,2365
Caddo Parish LA,22017,Cesarean,2,1470
Calcasieu Parish LA,22019,Vaginal,1,1695
Calcasieu Parish LA,22019,Cesarean,2,1033
East Baton Rouge Parish LA,22033,Vaginal,1,3958
East Baton Rouge Parish LA,22033,Cesarean,2,2183
Jefferson Parish LA,22051,Vaginal,1,3389
Jefferson Parish LA,22051,Cesarean,2,2207
Lafayette Parish LA,22055,Vaginal,1,2194
Lafayette Parish LA,22055,Cesarean,2,1303
Orleans Parish LA,22071,Vaginal,1,3176
Orleans Parish LA,22071,Cesarean,2,1691
Ouachita Parish LA,22073,Vaginal,1,1496
Ouachita Parish LA,22073,Cesarean,2,762
Rapides Parish LA,22079,Vaginal,1,943
Rapides Parish LA,22079,Cesarean,2,851
St. Tammany Parish LA,22103,Vaginal,1,1634
St. Tammany Parish LA,22103,Cesarean,2,1220
Tangipahoa Parish LA,22105,Vaginal,1,1162
Tangipahoa Parish LA,22105,Cesarean,2,774
Terrebonne Parish LA,22109,Vaginal,1,1089
Terrebonne Parish LA,22109,Cesarean,2,616
Unidentified Counties LA,22999,Vaginal,1,15542
Unidentified Counties LA,22999,Cesarean,2,10448
Androscoggin County ME,23001,Vaginal,1,875
Androscoggin County ME,23001,Cesarean,2,367
Cumberland County ME,23005,Vaginal,1,2059
Cumberland County ME,23005,Cesarean,2,809
Kennebec County ME,23011,Vaginal,1,754
Kennebec County ME,23011,Cesarean,2,340
Penobscot County ME,23019,Vaginal,1,1042
Penobscot County ME,23019,Cesarean,2,433
York County ME,23031,Vaginal,1,1264
York County ME,23031,Cesarean,2,557
Unidentified Counties ME,23999,Vaginal,1,2922
Unidentified Counties ME,23999,Cesarean,2,1318
Unidentified Counties ME,23999,Not Stated,9,12
Anne Arundel County MD,24003,Vaginal,1,4423
Anne Arundel County MD,24003,Cesarean,2,2380
Anne Arundel County MD,24003,Not Stated,9,14
Baltimore County MD,24005,Vaginal,1,6116
Baltimore County MD,24005,Cesarean,2,3394
Baltimore County MD,24005,Not Stated,9,14
Carroll County MD,24013,Vaginal,1,1014
Carroll County MD,24013,Cesarean,2,541
Charles County MD,24017,Vaginal,1,1141
Charles County MD,24017,Cesarean,2,665
Frederick County MD,24021,Vaginal,1,1821
Frederick County MD,24021,Cesarean,2,895
Harford County MD,24025,Vaginal,1,1832
Harford County MD,24025,Cesarean,2,870
Howard County MD,24027,Vaginal,1,2210
Howard County MD,24027,Cesarean,2,1165
Montgomery County MD,24031,Vaginal,1,8260
Montgomery County MD,24031,Cesarean,2,4795
Montgomery County MD,24031,Not Stated,9,12
Prince George's County MD,24033,Vaginal,1,7315
Prince George's County MD,24033,Cesarean,2,4504
Prince George's County MD,24033,Not Stated,9,42
Washington County MD,24043,Vaginal,1,1106
Washington County MD,24043,Cesarean,2,562
Washington County MD,24043,Not Stated,9,36
Baltimore city MD,24510,Vaginal,1,5894
Baltimore city MD,24510,Cesarean,2,2913
Baltimore city MD,24510,Not Stated,9,29
Unidentified Counties MD,24999,Vaginal,1,5438
Unidentified Counties MD,24999,Cesarean,2,2540
Barnstable County MA,25001,Vaginal,1,989
Barnstable County MA,25001,Cesarean,2,511
Berkshire County MA,25003,Vaginal,1,773
Berkshire County MA,25003,Cesarean,2,278
Bristol County MA,25005,Vaginal,1,3672
Bristol County MA,25005,Cesarean,2,1991
Bristol County MA,25005,Not Stated,9,10
Essex County MA,25009,Vaginal,1,5552
Essex County MA,25009,Cesarean,2,2887
Essex County MA,25009,Not Stated,9,14
Hampden County MA,25013,Vaginal,1,3641
Hampden County MA,25013,Cesarean,2,1641
Hampshire County MA,25015,Vaginal,1,781
Hampshire County MA,25015,Cesarean,2,324
Middlesex County MA,25017,Vaginal,1,12118
Middlesex County MA,25017,Cesarean,2,5356
Middlesex County MA,25017,Not Stated,9,46
Norfolk County MA,25021,Vaginal,1,4794
Norfolk County MA,25021,Cesarean,2,2377
Norfolk County MA,25021,Not Stated,9,42
Plymouth County MA,25023,Vaginal,1,3246
Plymouth County MA,25023,Cesarean,2,1819
Plymouth County MA,25023,Not Stated,9,15
Suffolk County MA,25025,Vaginal,1,6792
Suffolk County MA,25025,Cesarean,2,2585
Suffolk County MA,25025,Not Stated,9,63
Worcester County MA,25027,Vaginal,1,6010
Worcester County MA,25027,Cesarean,2,2530
Worcester County MA,25027,Not Stated,9,32
Unidentified Counties MA,25999,Vaginal,1,623
Unidentified Counties MA,25999,Cesarean,2,248
Unidentified Counties MA,25999,Not Stated,9,10
Allegan County MI,26005,Vaginal,1,872
Allegan County MI,26005,Cesarean,2,427
Bay County MI,26017,Vaginal,1,721
Bay County MI,26017,Cesarean,2,321
Berrien County MI,26021,Vaginal,1,1277
Berrien County MI,26021,Cesarean,2,588
Calhoun County MI,26025,Vaginal,1,1189
Calhoun County MI,26025,Cesarean,2,507
Eaton County MI,26045,Vaginal,1,745
Eaton County MI,26045,Cesarean,2,379
Genesee County MI,26049,Vaginal,1,3039
Genesee County MI,26049,Cesarean,2,1981
Ingham County MI,26065,Vaginal,1,2241
Ingham County MI,26065,Cesarean,2,1030
Jackson County MI,26075,Vaginal,1,1247
Jackson County MI,26075,Cesarean,2,476
Kalamazoo County MI,26077,Vaginal,1,2136
Kalamazoo County MI,26077,Cesarean,2,1030
Kent County MI,26081,Vaginal,1,6088
Kent County MI,26081,Cesarean,2,2763
Livingston County MI,26093,Vaginal,1,1123
Livingston County MI,26093,Cesarean,2,551
Macomb County MI,26099,Vaginal,1,5906
Macomb County MI,26099,Cesarean,2,3471
Monroe County MI,26115,Vaginal,1,996
Monroe County MI,26115,Cesarean,2,515
Muskegon County MI,26121,Vaginal,1,1387
Muskegon County MI,26121,Cesarean,2,741
Oakland County MI,26125,Vaginal,1,9161
Oakland County MI,26125,Cesarean,2,4325
Ottawa County MI,26139,Vaginal,1,2293
Ottawa County MI,26139,Cesarean,2,1070
Saginaw County MI,26145,Vaginal,1,1530
Saginaw County MI,26145,Cesarean,2,748
St. Clair County MI,26147,Vaginal,1,1030
St. Clair County MI,26147,Cesarean,2,517
Washtenaw County MI,26161,Vaginal,1,2583
Washtenaw County MI,26161,Cesarean,2,1070
Wayne County MI,26163,Vaginal,1,16358
Wayne County MI,26163,Cesarean,2,7243
Unidentified Counties MI,26999,Vaginal,1,14589
Unidentified Counties MI,26999,Cesarean,2,7198
Anoka County MN,27003,Vaginal,1,3084
Anoka County MN,27003,Cesarean,2,1131
Dakota County MN,27037,Vaginal,1,3696
Dakota County MN,27037,Cesarean,2,1448
Hennepin County MN,27053,Vaginal,1,12356
Hennepin County MN,27053,Cesarean,2,4227
Hennepin County MN,27053,Not Stated,9,10
Olmsted County MN,27109,Vaginal,1,1623
Olmsted County MN,27109,Cesarean,2,541
Ramsey County MN,27123,Vaginal,1,5979
Ramsey County MN,27123,Cesarean,2,1851
St. Louis County MN,27137,Vaginal,1,1453
St. Louis County MN,27137,Cesarean,2,568
Stearns County MN,27145,Vaginal,1,1483
Stearns County MN,27145,Cesarean,2,525
Washington County MN,27163,Vaginal,1,2055
Washington County MN,27163,Cesarean,2,793
Unidentified Counties MN,27999,Vaginal,1,18829
Unidentified Counties MN,27999,Cesarean,2,7485
DeSoto County MS,28033,Vaginal,1,1268
DeSoto County MS,28033,Cesarean,2,772
Harrison County MS,28047,Vaginal,1,1860
Harrison County MS,28047,Cesarean,2,871
Hinds County MS,28049,Vaginal,1,1882
Hinds County MS,28049,Cesarean,2,1445
Jackson County MS,28059,Vaginal,1,1047
Jackson County MS,28059,Cesarean,2,567
Rankin County MS,28121,Vaginal,1,1017
Rankin County MS,28121,Cesarean,2,896
Unidentified Counties MS,28999,Vaginal,1,16679
Unidentified Counties MS,28999,Cesarean,2,10326
Boone County MO,29019,Vaginal,1,1420
Boone County MO,29019,Cesarean,2,746
Clay County MO,29047,Vaginal,1,2127
Clay County MO,29047,Cesarean,2,905
Greene County MO,29077,Vaginal,1,2472
Greene County MO,29077,Cesarean,2,994
Greene County MO,29077,Not Stated,9,40
Jackson County MO,29095,Vaginal,1,6841
Jackson County MO,29095,Cesarean,2,2635
Jackson County MO,29095,Not Stated,9,15
Jasper County MO,29097,Vaginal,1,1170
Jasper County MO,29097,Cesarean,2,517
Jefferson County MO,29099,Vaginal,1,1650
Jefferson County MO,29099,Cesarean,2,984
St. Charles County MO,29183,Vaginal,1,3045
St. Charles County MO,29183,Cesarean,2,1488
St. Charles County MO,29183,Not Stated,9,16
St. Louis County MO,29189,Vaginal,1,7523
St. Louis County MO,29189,Cesarean,2,3941
St. Louis County MO,29189,Not Stated,9,60
St. Louis city MO,29510,Vaginal,1,3228
St. Louis city MO,29510,Cesarean,2,1466
Unidentified Counties MO,29999,Vaginal,1,22196
