"","County","County.Code","Delivery.Method","Delivery.Method.Code","Births","Longitude","Latitude"
"739","Erie County NY",36029,"Not Stated",9,13,-78.8661589,42.9023958
"740","Jefferson County NY",36045,"Vaginal",1,1694,-75.9927652,44.0607421
"741","Jefferson County NY",36045,"Cesarean",2,511,-75.9927652,44.0607421
"742","Jefferson County NY",36045,"Not Stated",9,16,-75.9927652,44.0607421
"743","Kings County NY",36047,"Vaginal",1,28896,-73.9441579,40.6781784
"744","Kings County NY",36047,"Cesarean",2,12341,-73.9441579,40.6781784
"745","Kings County NY",36047,"Not Stated",9,16,-73.9441579,40.6781784
"746","Monroe County NY",36055,"Vaginal",1,5815,-77.7452081,43.2841246
"747","Monroe County NY",36055,"Cesarean",2,2551,-77.7452081,43.2841246
"748","Nassau County NY",36059,"Vaginal",1,8568,-73.5594128,40.6546145
"749","Nassau County NY",36059,"Cesarean",2,5306,-73.5594128,40.6546145
"750","New York County NY",36061,"Vaginal",1,12206,-73.9712488,40.7830603
"751","New York County NY",36061,"Cesarean",2,6350,-73.9712488,40.7830603
"752","New York County NY",36061,"Not Stated",9,12,-73.9712488,40.7830603
"753","Niagara County NY",36063,"Vaginal",1,1233,-78.7476208,43.3119496
"754","Niagara County NY",36063,"Cesarean",2,959,-78.7476208,43.3119496
"755","Oneida County NY",36065,"Vaginal",1,1678,-75.4344727,43.2371798
"756","Oneida County NY",36065,"Cesarean",2,946,-75.4344727,43.2371798
"757","Onondaga County NY",36067,"Vaginal",1,3560,-76.1783739,43.026819
"758","Onondaga County NY",36067,"Cesarean",2,1685,-76.1783739,43.026819
"759","Ontario County NY",36069,"Vaginal",1,741,-77.2864879,42.8509838
"760","Ontario County NY",36069,"Cesarean",2,283,-77.2864879,42.8509838
"761","Orange County NY",36071,"Vaginal",1,3405,-74.3118212,41.3911653
"762","Orange County NY",36071,"Cesarean",2,1487,-74.3118212,41.3911653
"763","Orange County NY",36071,"Not Stated",9,59,-74.3118212,41.3911653
"764","Oswego County NY",36075,"Vaginal",1,904,-76.1783739,43.482533
"765","Oswego County NY",36075,"Cesarean",2,422,-76.1783739,43.482533
"766","Oswego County NY",36075,"Not Stated",9,11,-76.1783739,43.482533
"767","Queens County NY",36081,"Vaginal",1,19486,-73.7948516,40.7282239
"768","Queens County NY",36081,"Cesarean",2,10670,-73.7948516,40.7282239
"769","Rensselaer County NY",36083,"Vaginal",1,1196,-73.5594128,42.673664
"770","Rensselaer County NY",36083,"Cesarean",2,566,-73.5594128,42.673664
"771","Richmond County NY",36085,"Vaginal",1,3362,-74.1502007,40.5795317
"772","Richmond County NY",36085,"Cesarean",2,2014,-74.1502007,40.5795317
"773","Rockland County NY",36087,"Vaginal",1,3667,-73.9830029,41.1489458
"774","Rockland County NY",36087,"Cesarean",2,1261,-73.9830029,41.1489458
"775","Rockland County NY",36087,"Not Stated",9,167,-73.9830029,41.1489458
"776","St. Lawrence County NY",36089,"Vaginal",1,655,-74.930206,44.4473142
"777","St. Lawrence County NY",36089,"Cesarean",2,495,-74.930206,44.4473142
"778","St. Lawrence County NY",36089,"Not Stated",9,64,-74.930206,44.4473142
"779","Saratoga County NY",36091,"Vaginal",1,1489,-73.9359821,43.0324245
"780","Saratoga County NY",36091,"Cesarean",2,771,-73.9359821,43.0324245
"781","Schenectady County NY",36093,"Vaginal",1,1206,-73.9830029,42.8493445
"782","Schenectady County NY",36093,"Cesarean",2,514,-73.9830029,42.8493445
"783","Suffolk County NY",36103,"Vaginal",1,8629,-72.6151169,40.9848784
"784","Suffolk County NY",36103,"Cesarean",2,6919,-72.6151169,40.9848784
"785","Ulster County NY",36111,"Vaginal",1,1014,-74.3118212,41.8586493
"786","Ulster County NY",36111,"Cesarean",2,562,-74.3118212,41.8586493
"787","Westchester County NY",36119,"Vaginal",1,6255,-73.7948516,41.1220194
"788","Westchester County NY",36119,"Cesarean",2,4353,-73.7948516,41.1220194
"789","Unidentified Counties NY",36999,"Vaginal",1,12926,-74.0059413,40.7127837
"790","Unidentified Counties NY",36999,"Cesarean",2,6365,-74.0059413,40.7127837
"791","Unidentified Counties NY",36999,"Not Stated",9,256,-74.0059413,40.7127837
"792","Alamance County NC",37001,"Vaginal",1,1252,-79.4253776,36.0117388
"793","Alamance County NC",37001,"Cesarean",2,533,-79.4253776,36.0117388
"794","Buncombe County NC",37021,"Vaginal",1,1888,-82.4752757,35.5931377
"795","Buncombe County NC",37021,"Cesarean",2,777,-82.4752757,35.5931377
"796","Cabarrus County NC",37025,"Vaginal",1,1564,-80.5882803,35.4168123
"797","Cabarrus County NC",37025,"Cesarean",2,748,-80.5882803,35.4168123
"798","Catawba County NC",37035,"Vaginal",1,1186,-81.2518833,35.6840748
"799","Catawba County NC",37035,"Cesarean",2,486,-81.2518833,35.6840748
"800","Cumberland County NC",37051,"Vaginal",1,4108,-78.7476208,34.9542604
"801","Cumberland County NC",37051,"Cesarean",2,1580,-78.7476208,34.9542604
"802","Davidson County NC",37057,"Vaginal",1,1122,-80.1875065,35.7748479
"803","Davidson County NC",37057,"Cesarean",2,603,-80.1875065,35.7748479
"804","Durham County NC",37063,"Vaginal",1,3009,-78.9031279,36.0221805
"805","Durham County NC",37063,"Cesarean",2,1184,-78.9031279,36.0221805
"806","Forsyth County NC",37067,"Vaginal",1,3227,-80.1875065,36.1200003
"807","Forsyth County NC",37067,"Cesarean",2,1296,-80.1875065,36.1200003
"808","Gaston County NC",37071,"Vaginal",1,1625,-81.2078164,35.2895651
"809","Gaston County NC",37071,"Cesarean",2,826,-81.2078164,35.2895651
"810","Guilford County NC",37081,"Vaginal",1,4271,-79.8296743,36.0899873
"811","Guilford County NC",37081,"Cesarean",2,1902,-79.8296743,36.0899873
"812","Iredell County NC",37097,"Vaginal",1,1148,-80.8986502,35.8310501
"813","Iredell County NC",37097,"Cesarean",2,604,-80.8986502,35.8310501
"814","Johnston County NC",37101,"Vaginal",1,1513,-78.3842227,35.4403514
"815","Johnston County NC",37101,"Cesarean",2,652,-78.3842227,35.4403514
"816","Mecklenburg County NC",37119,"Vaginal",1,9396,-80.8543847,35.2632655
"817","Mecklenburg County NC",37119,"Cesarean",2,4435,-80.8543847,35.2632655
"818","New Hanover County NC",37129,"Vaginal",1,1659,-77.8824596,34.2154913
"819","New Hanover County NC",37129,"Cesarean",2,583,-77.8824596,34.2154913
"820","Onslow County NC",37133,"Vaginal",1,3201,-77.4701972,34.6540094
"821","Onslow County NC",37133,"Cesarean",2,1127,-77.4701972,34.6540094
"822","Orange County NC",37135,"Vaginal",1,901,-79.1096901,36.0263022
"823","Orange County NC",37135,"Cesarean",2,290,-79.1096901,36.0263022
"824","Pitt County NC",37147,"Vaginal",1,1462,-77.4242972,35.5589221
"825","Pitt County NC",37147,"Cesarean",2,649,-77.4242972,35.5589221
"826","Randolph County NC",37151,"Vaginal",1,1101,-79.8296743,35.7449531
"827","Randolph County NC",37151,"Cesarean",2,488,-79.8296743,35.7449531
"828","Robeson County NC",37155,"Vaginal",1,1303,-79.1096901,34.6383858
"829","Robeson County NC",37155,"Cesarean",2,630,-79.1096901,34.6383858
"830","Rowan County NC",37159,"Vaginal",1,1070,-80.543845,35.6303455
"831","Rowan County NC",37159,"Cesarean",2,449,-80.543845,35.6303455
"832","Union County NC",37179,"Vaginal",1,1591,-80.543845,34.9338651
"833","Union County NC",37179,"Cesarean",2,699,-80.543845,34.9338651
"834","Wake County NC",37183,"Vaginal",1,8767,-78.5660852,35.8031909
"835","Wake County NC",37183,"Cesarean",2,3670,-78.5660852,35.8031909
"836","Wayne County NC",37191,"Vaginal",1,1156,-77.973865,35.3565499
"837","Wayne County NC",37191,"Cesarean",2,549,-77.973865,35.3565499
"838","Unidentified Counties NC",37999,"Vaginal",1,25345,-79.0192997,35.7595731
"839","Unidentified Counties NC",37999,"Cesarean",2,11363,-79.0192997,35.7595731
"840","Cass County ND",38017,"Vaginal",1,1801,-97.1215579,47.071168
"841","Cass County ND",38017,"Cesarean",2,659,-97.1215579,47.071168
"844","Allen County OH",39003,"Vaginal",1,879,-84.1435136,40.769946
"845","Allen County OH",39003,"Cesarean",2,396,-84.1435136,40.769946
"846","Ashtabula County OH",39007,"Vaginal",1,759,-80.7214417,41.9396982
"847","Ashtabula County OH",39007,"Cesarean",2,328,-80.7214417,41.9396982
"848","Butler County OH",39017,"Vaginal",1,2982,-84.5222189,39.440463
"849","Butler County OH",39017,"Cesarean",2,1475,-84.5222189,39.440463
"850","Clark County OH",39023,"Vaginal",1,977,-83.6773928,39.8912092
"851","Clark County OH",39023,"Cesarean",2,580,-83.6773928,39.8912092
"852","Clermont County OH",39025,"Vaginal",1,1501,-84.1499347,39.0500636
"853","Clermont County OH",39025,"Cesarean",2,770,-84.1499347,39.0500636
"854","Columbiana County OH",39029,"Vaginal",1,703,-80.7657804,40.7902581
"855","Columbiana County OH",39029,"Cesarean",2,391,-80.7657804,40.7902581
"856","Cuyahoga County OH",39035,"Vaginal",1,10659,-81.67582,41.433923
"857","Cuyahoga County OH",39035,"Cesarean",2,4252,-81.67582,41.433923
"858","Delaware County OH",39041,"Vaginal",1,1568,-83.0361376,40.3033098
"859","Delaware County OH",39041,"Cesarean",2,626,-83.0361376,40.3033098
"860","Fairfield County OH",39045,"Vaginal",1,1197,-82.6483442,39.830506
"861","Fairfield County OH",39045,"Cesarean",2,526,-82.6483442,39.830506
"862","Franklin County OH",39049,"Vaginal",1,13284,-82.9931607,40.0154745
"863","Franklin County OH",39049,"Cesarean",2,5482,-82.9931607,40.0154745
"864","Greene County OH",39057,"Vaginal",1,1199,-83.8897057,39.697399
"865","Greene County OH",39057,"Cesarean",2,583,-83.8897057,39.697399
"866","Hamilton County OH",39061,"Vaginal",1,7159,-84.564147,39.2355447
"867","Hamilton County OH",39061,"Cesarean",2,3622,-84.564147,39.2355447
"868","Lake County OH",39085,"Vaginal",1,1612,-81.2455855,41.7112668
"869","Lake County OH",39085,"Cesarean",2,716,-81.2455855,41.7112668
"870","Licking County OH",39089,"Vaginal",1,1357,-82.4752757,40.1460895
"871","Licking County OH",39089,"Cesarean",2,544,-82.4752757,40.1460895
"872","Lorain County OH",39093,"Vaginal",1,2350,-82.12784,41.4116881
"873","Lorain County OH",39093,"Cesarean",2,956,-82.12784,41.4116881
"874","Lucas County OH",39095,"Vaginal",1,3959,-83.3789389,41.6894388
"875","Lucas County OH",39095,"Cesarean",2,1714,-83.3789389,41.6894388
"876","Mahoning County OH",39099,"Vaginal",1,1499,-80.7214417,40.9871753
"877","Mahoning County OH",39099,"Cesarean",2,911,-80.7214417,40.9871753
"878","Medina County OH",39103,"Vaginal",1,1173,-81.9534815,41.080133
"879","Medina County OH",39103,"Cesarean",2,545,-81.9534815,41.080133
"880","Montgomery County OH",39113,"Vaginal",1,4501,-84.3542049,39.7620028
"881","Montgomery County OH",39113,"Cesarean",2,2245,-84.3542049,39.7620028
"882","Portage County OH",39133,"Vaginal",1,996,-81.2518833,41.1887572
"883","Portage County OH",39133,"Cesarean",2,464,-81.2518833,41.1887572
"884","Richland County OH",39139,"Vaginal",1,1008,-82.5185837,40.7566723
"885","Richland County OH",39139,"Cesarean",2,423,-82.5185837,40.7566723
"886","Stark County OH",39151,"Vaginal",1,2861,-81.2518833,40.8684676
"887","Stark County OH",39151,"Cesarean",2,1361,-81.2518833,40.8684676
"888","Summit County OH",39153,"Vaginal",1,4255,-81.5596427,41.0918991
"889","Summit County OH",39153,"Cesarean",2,1828,-81.5596427,41.0918991
"890","Trumbull County OH",39155,"Vaginal",1,1424,-80.7214417,41.3064984
"891","Trumbull County OH",39155,"Cesarean",2,729,-80.7214417,41.3064984
"892","Warren County OH",39165,"Vaginal",1,1623,-84.1857115,39.4241422
"893","Warren County OH",39165,"Cesarean",2,739,-84.1857115,39.4241422
"894","Wayne County OH",39169,"Vaginal",1,1141,-81.9534815,40.7588598
"895","Wayne County OH",39169,"Cesarean",2,478,-81.9534815,40.7588598
"896","Wood County OH",39173,"Vaginal",1,913,-83.6773928,41.3478458
"897","Wood County OH",39173,"Cesarean",2,469,-83.6773928,41.3478458
"898","Unidentified Counties OH",39999,"Vaginal",1,22214,-82.907123,40.4172871
"899","Unidentified Counties OH",39999,"Cesarean",2,9977,-82.907123,40.4172871
"900","Unidentified Counties OH",39999,"Not Stated",9,15,-82.907123,40.4172871
"901","Cleveland County OK",40027,"Vaginal",1,1977,-97.3516558,35.254964
"902","Cleveland County OK",40027,"Cesarean",2,1037,-97.3516558,35.254964
"903","Comanche County OK",40031,"Vaginal",1,1429,-98.3964938,34.6612778
"904","Comanche County OK",40031,"Cesarean",2,528,-98.3964938,34.6612778
"905","Oklahoma County OK",40109,"Vaginal",1,8373,-97.3516558,35.6038323
"906","Oklahoma County OK",40109,"Cesarean",2,4102,-97.3516558,35.6038323
"907","Tulsa County OK",40143,"Vaginal",1,6298,-95.940971,36.1593471
"908","Tulsa County OK",40143,"Cesarean",2,2966,-95.940971,36.1593471
"911","Clackamas County OR",41005,"Vaginal",1,2872,-122.1188945,45.2023855
"912","Clackamas County OR",41005,"Cesarean",2,1080,-122.1188945,45.2023855
"913","Deschutes County OR",41017,"Vaginal",1,1260,-121.2616541,43.83251
"914","Deschutes County OR",41017,"Cesarean",2,469,-121.2616541,43.83251
"915","Douglas County OR",41019,"Vaginal",1,792,-123.2492364,43.1260694
"916","Douglas County OR",41019,"Cesarean",2,272,-123.2492364,43.1260694
"917","Jackson County OR",41029,"Vaginal",1,1603,-122.7646577,42.334535
"918","Jackson County OR",41029,"Cesarean",2,717,-122.7646577,42.334535
"919","Lane County OR",41039,"Vaginal",1,2424,-122.6618227,43.9610092
"920","Lane County OR",41039,"Cesarean",2,1102,-122.6618227,43.9610092
"921","Linn County OR",41043,"Vaginal",1,1034,-122.53401,44.4099768
"922","Linn County OR",41043,"Cesarean",2,388,-122.53401,44.4099768
"923","Marion County OR",41047,"Vaginal",1,3136,-122.5927411,44.8446393
"924","Marion County OR",41047,"Cesarean",2,1185,-122.5927411,44.8446393
"925","Multnomah County OR",41051,"Vaginal",1,6897,-122.5863212,45.5145659
"926","Multnomah County OR",41051,"Cesarean",2,2602,-122.5863212,45.5145659
"927","Washington County OR",41067,"Vaginal",1,5179,-123.1386021,45.5469616
"928","Washington County OR",41067,"Cesarean",2,1976,-123.1386021,45.5469616
"931","Allegheny County PA",42003,"Vaginal",1,9133,-80.0087746,40.4450813
"932","Allegheny County PA",42003,"Cesarean",2,4119,-80.0087746,40.4450813
"933","Allegheny County PA",42003,"Not Stated",9,68,-80.0087746,40.4450813
"934","Beaver County PA",42007,"Vaginal",1,1099,-80.365865,40.6367812
"935","Beaver County PA",42007,"Cesarean",2,604,-80.365865,40.6367812
"936","Berks County PA",42011,"Vaginal",1,3462,-75.9927652,40.3451566
"937","Berks County PA",42011,"Cesarean",2,1394,-75.9927652,40.3451566
"938","Blair County PA",42013,"Vaginal",1,1008,-78.3842227,40.4531318
"939","Blair County PA",42013,"Cesarean",2,383,-78.3842227,40.4531318
"940","Bucks County PA",42017,"Vaginal",1,3636,-75.2479061,40.4107964
"941","Bucks County PA",42017,"Cesarean",2,2176,-75.2479061,40.4107964
"942","Butler County PA",42019,"Vaginal",1,1196,-79.8296743,40.9115243
"943","Butler County PA",42019,"Cesarean",2,598,-79.8296743,40.9115243
"944","Cambria County PA",42021,"Vaginal",1,977,-78.7476208,40.4894231
"945","Cambria County PA",42021,"Cesarean",2,306,-78.7476208,40.4894231
"946","Centre County PA",42027,"Vaginal",1,903,-77.8367282,40.8765649
"947","Centre County PA",42027,"Cesarean",2,340,-77.8367282,40.8765649
"948","Chester County PA",42029,"Vaginal",1,3705,-75.8069082,40.0010204
"949","Chester County PA",42029,"Cesarean",2,1735,-75.8069082,40.0010204
"950","Cumberland County PA",42041,"Vaginal",1,1795,-77.2405153,40.1299841
"951","Cumberland County PA",42041,"Cesarean",2,791,-77.2405153,40.1299841
"952","Dauphin County PA",42043,"Vaginal",1,2407,-76.7336521,40.2734277
"953","Dauphin County PA",42043,"Cesarean",2,1054,-76.7336521,40.2734277
"954","Delaware County PA",42045,"Vaginal",1,4335,-75.3878525,39.907793
"955","Delaware County PA",42045,"Cesarean",2,2242,-75.3878525,39.907793
"956","Erie County PA",42049,"Vaginal",1,2030,-80.1875065,42.0521954
"957","Erie County PA",42049,"Cesarean",2,1146,-80.1875065,42.0521954
"958","Fayette County PA",42051,"Vaginal",1,938,-79.6502105,39.9272324
"959","Fayette County PA",42051,"Cesarean",2,490,-79.6502105,39.9272324
"960","Franklin County PA",42055,"Vaginal",1,1328,-77.6536125,39.8923855
"961","Franklin County PA",42055,"Cesarean",2,510,-77.6536125,39.8923855
"962","Lackawanna County PA",42069,"Vaginal",1,1386,-75.5742467,41.4421199
"963","Lackawanna County PA",42069,"Cesarean",2,821,-75.5742467,41.4421199
"964","Lancaster County PA",42071,"Vaginal",1,5098,-76.1783739,40.0466571
"965","Lancaster County PA",42071,"Cesarean",2,1992,-76.1783739,40.0466571
"966","Lebanon County PA",42075,"Vaginal",1,1039,-76.5025742,40.3666686
"967","Lebanon County PA",42075,"Cesarean",2,538,-76.5025742,40.3666686
"968","Lehigh County PA",42077,"Vaginal",1,2997,-75.5742467,40.6519679
"969","Lehigh County PA",42077,"Cesarean",2,1157,-75.5742467,40.6519679
"970","Luzerne County PA",42079,"Vaginal",1,2064,-75.9927652,41.1404353
"971","Luzerne County PA",42079,"Cesarean",2,1094,-75.9927652,41.1404353
"972","Lycoming County PA",42081,"Vaginal",1,855,-77.1024902,41.2720004
"973","Lycoming County PA",42081,"Cesarean",2,424,-77.1024902,41.2720004
"974","Mercer County PA",42085,"Vaginal",1,783,-80.1875065,41.2619821
"975","Mercer County PA",42085,"Cesarean",2,360,-80.1875065,41.2619821
"976","Monroe County PA",42089,"Vaginal",1,924,-75.2479061,41.0458376
"977","Monroe County PA",42089,"Cesarean",2,507,-75.2479061,41.0458376
"978","Montgomery County PA",42091,"Vaginal",1,5897,-75.3878525,40.2290075
"979","Montgomery County PA",42091,"Cesarean",2,2855,-75.3878525,40.2290075
"980","Northampton County PA",42095,"Vaginal",1,1883,-75.294569,40.7749283
"981","Northampton County PA",42095,"Cesarean",2,937,-75.294569,40.7749283
"982","Philadelphia County PA",42101,"Vaginal",1,15562,-75.1311874,40.0152766
"983","Philadelphia County PA",42101,"Cesarean",2,6700,-75.1311874,40.0152766
"984","Philadelphia County PA",42101,"Not Stated",9,28,-75.1311874,40.0152766
"985","Schuylkill County PA",42107,"Vaginal",1,933,-76.1783739,40.6873058
"986","Schuylkill County PA",42107,"Cesarean",2,419,-76.1783739,40.6873058
"987","Washington County PA",42125,"Vaginal",1,1423,-80.1875065,40.1367719
"988","Washington County PA",42125,"Cesarean",2,582,-80.1875065,40.1367719
"989","Washington County PA",42125,"Not Stated",9,11,-80.1875065,40.1367719
"990","Westmoreland County PA",42129,"Vaginal",1,2208,-79.4703885,40.2353963
"991","Westmoreland County PA",42129,"Cesarean",2,937,-79.4703885,40.2353963
"992","York County PA",42133,"Vaginal",1,3431,-76.7336521,39.9512496
"993","York County PA",42133,"Cesarean",2,1497,-76.7336521,39.9512496
"994","Unidentified Counties PA",42999,"Vaginal",1,12239,-77.1945247,41.2033216
"995","Unidentified Counties PA",42999,"Cesarean",2,5364,-77.1945247,41.2033216
"996","Unidentified Counties PA",42999,"Not Stated",9,38,-77.1945247,41.2033216
"997","Kent County RI",44003,"Vaginal",1,1060,-71.7147951,41.6579147
"998","Kent County RI",44003,"Cesarean",2,507,-71.7147951,41.6579147
"999","Providence County RI",44007,"Vaginal",1,5066,-71.4774291,41.8881582
"1000","Providence County RI",44007,"Cesarean",2,2190,-71.4774291,41.8881582
"1001","Providence County RI",44007,"Not Stated",9,26,-71.4774291,41.8881582
"1002","Washington County RI",44009,"Vaginal",1,623,-71.6673352,41.4568113
"1003","Washington County RI",44009,"Cesarean",2,286,-71.6673352,41.4568113
"1006","Aiken County SC",45003,"Vaginal",1,1175,-81.6035062,33.6005783
"1007","Aiken County SC",45003,"Cesarean",2,616,-81.6035062,33.6005783
"1008","Anderson County SC",45007,"Vaginal",1,1486,-82.6483442,34.5528328
"1009","Anderson County SC",45007,"Cesarean",2,800,-82.6483442,34.5528328
"1010","Beaufort County SC",45013,"Vaginal",1,1469,-80.7214417,32.2860396
"1011","Beaufort County SC",45013,"Cesarean",2,609,-80.7214417,32.2860396
"1012","Berkeley County SC",45015,"Vaginal",1,1732,-80.0087746,33.1260618
"1013","Berkeley County SC",45015,"Cesarean",2,876,-80.0087746,33.1260618
"1014","Charleston County SC",45019,"Vaginal",1,3180,-79.7848422,32.7956561
"1015","Charleston County SC",45019,"Cesarean",2,1588,-79.7848422,32.7956561
"1016","Florence County SC",45041,"Vaginal",1,961,-79.6502105,33.9828684
"1017","Florence County SC",45041,"Cesarean",2,758,-79.6502105,33.9828684
"1018","Greenville County SC",45045,"Vaginal",1,4088,-82.345189,34.9297484
"1019","Greenville County SC",45045,"Cesarean",2,1975,-82.345189,34.9297484
"1020","Horry County SC",45051,"Vaginal",1,1880,-78.9288242,33.9196567
"1021","Horry County SC",45051,"Cesarean",2,1293,-78.9288242,33.9196567
"1022","Lexington County SC",45063,"Vaginal",1,2031,-81.2518833,33.9309651
"1023","Lexington County SC",45063,"Cesarean",2,1220,-81.2518833,33.9309651
"1024","Pickens County SC",45077,"Vaginal",1,773,-82.6483442,34.9046217
"1025","Pickens County SC",45077,"Cesarean",2,389,-82.6483442,34.9046217
"1026","Richland County SC",45079,"Vaginal",1,3063,-80.9428911,34.0412165
"1027","Richland County SC",45079,"Cesarean",2,1734,-80.9428911,34.0412165
"1028","Spartanburg County SC",45083,"Vaginal",1,2314,-81.9534815,34.860551
"1029","Spartanburg County SC",45083,"Cesarean",2,1181,-81.9534815,34.860551
"1030","Sumter County SC",45085,"Vaginal",1,1054,-80.4103957,33.9123048
"1031","Sumter County SC",45085,"Cesarean",2,473,-80.4103957,33.9123048
"1032","York County SC",45091,"Vaginal",1,1961,-81.2518833,34.9871367
"1033","York County SC",45091,"Cesarean",2,930,-81.2518833,34.9871367
"1034","Unidentified Counties SC",45999,"Vaginal",1,9723,-81.1637245,33.836081
"1035","Unidentified Counties SC",45999,"Cesarean",2,5451,-81.1637245,33.836081
"1036","Minnehaha County SD",46099,"Vaginal",1,2104,-96.8350999,43.6631787
"1037","Minnehaha County SD",46099,"Cesarean",2,760,-96.8350999,43.6631787
"1040","Blount County TN",47009,"Vaginal",1,973,-83.8473015,35.6710541
"1041","Blount County TN",47009,"Cesarean",2,332,-83.8473015,35.6710541
"1042","Davidson County TN",47037,"Vaginal",1,6499,-86.8220341,36.1342563
"1043","Davidson County TN",47037,"Cesarean",2,3415,-86.8220341,36.1342563
"1044","Hamilton County TN",47065,"Vaginal",1,2795,-85.1479364,35.1618966
"1045","Hamilton County TN",47065,"Cesarean",2,1376,-85.1479364,35.1618966
"1046","Knox County TN",47093,"Vaginal",1,3525,-83.9419784,35.9874629
"1047","Knox County TN",47093,"Cesarean",2,1590,-83.9419784,35.9874629
"1048","Montgomery County TN",47125,"Vaginal",1,2232,-87.460397,36.4960406
"1049","Montgomery County TN",47125,"Cesarean",2,996,-87.460397,36.4960406
"1050","Rutherford County TN",47149,"Vaginal",1,2278,-86.3376761,35.7724263
"1051","Rutherford County TN",47149,"Cesarean",2,1464,-86.3376761,35.7724263
"1052","Shelby County TN",47157,"Vaginal",1,8929,-89.9253233,35.1268552
"1053","Shelby County TN",47157,"Cesarean",2,4840,-89.9253233,35.1268552
"1054","Sullivan County TN",47163,"Vaginal",1,1006,-82.345189,36.4933147
"1055","Sullivan County TN",47163,"Cesarean",2,582,-82.345189,36.4933147
"1056","Sumner County TN",47165,"Vaginal",1,1291,-86.4996546,36.4718084
"1057","Sumner County TN",47165,"Cesarean",2,710,-86.4996546,36.4718084
"1058","Washington County TN",47179,"Vaginal",1,872,-82.5185837,36.3321016
"1059","Washington County TN",47179,"Cesarean",2,457,-82.5185837,36.3321016
"1060","Williamson County TN",47187,"Vaginal",1,1335,-86.8621827,35.9179271
"1061","Williamson County TN",47187,"Cesarean",2,763,-86.8621827,35.9179271
"1062","Unidentified Counties TN",47999,"Vaginal",1,21575,-86.5804473,35.5174913
"1063","Unidentified Counties TN",47999,"Cesarean",2,10155,-86.5804473,35.5174913
"1064","Bell County TX",48027,"Vaginal",1,4627,-97.5247243,31.134411
"1065","Bell County TX",48027,"Cesarean",2,1738,-97.5247243,31.134411
"1066","Bexar County TX",48029,"Vaginal",1,17215,-98.5721016,29.4200763
"1067","Bexar County TX",48029,"Cesarean",2,9605,-98.5721016,29.4200763
"1068","Brazoria County TX",48039,"Vaginal",1,2898,-95.4777811,29.2131857
"1069","Brazoria County TX",48039,"Cesarean",2,1778,-95.4777811,29.2131857
"1070","Brazos County TX",48041,"Vaginal",1,1782,-96.3226072,30.6504141
"1071","Brazos County TX",48041,"Cesarean",2,853,-96.3226072,30.6504141
"1072","Cameron County TX",48061,"Vaginal",1,3767,-97.5247243,26.1284971
"1073","Cameron County TX",48061,"Cesarean",2,3616,-97.5247243,26.1284971
"1074","Collin County TX",48085,"Vaginal",1,6336,-96.4929797,33.1795213
"1075","Collin County TX",48085,"Cesarean",2,4264,-96.4929797,33.1795213
"1076","Dallas County TX",48113,"Vaginal",1,26932,-96.8350999,32.8024682
"1077","Dallas County TX",48113,"Cesarean",2,11778,-96.8350999,32.8024682
"1078","Denton County TX",48121,"Vaginal",1,6137,-97.179026,33.1418611
"1079","Denton County TX",48121,"Cesarean",2,3426,-97.179026,33.1418611
"1080","Ector County TX",48135,"Vaginal",1,2104,-102.5298028,31.8246483
"1081","Ector County TX",48135,"Cesarean",2,811,-102.5298028,31.8246483
"1082","Ellis County TX",48139,"Vaginal",1,1396,-96.8350999,32.2619765
"1083","Ellis County TX",48139,"Cesarean",2,664,-96.8350999,32.2619765
"1084","El Paso County TX",48141,"Vaginal",1,8208,-106.2051484,31.8039824
"1085","El Paso County TX",48141,"Cesarean",2,5378,-106.2051484,31.8039824
"1086","Fort Bend County TX",48157,"Vaginal",1,5382,-95.8142885,29.5692614
"1087","Fort Bend County TX",48157,"Cesarean",2,3155,-95.8142885,29.5692614
"1088","Galveston County TX",48167,"Vaginal",1,2488,-94.8520636,29.3763499
"1089","Galveston County TX",48167,"Cesarean",2,1473,-94.8520636,29.3763499
"1090","Grayson County TX",48181,"Vaginal",1,943,-96.663812,33.7062406
"1091","Grayson County TX",48181,"Cesarean",2,565,-96.663812,33.7062406
"1092","Gregg County TX",48183,"Vaginal",1,1367,-94.8520636,32.4892547
"1093","Gregg County TX",48183,"Cesarean",2,513,-94.8520636,32.4892547
"1094","Harris County TX",48201,"Vaginal",1,44529,-95.3102505,29.7751825
"1095","Harris County TX",48201,"Cesarean",2,23790,-95.3102505,29.7751825
"1096","Hidalgo County TX",48215,"Vaginal",1,9255,-98.2212979,26.4656319
"1097","Hidalgo County TX",48215,"Cesarean",2,6813,-98.2212979,26.4656319
"1098","Jefferson County TX",48245,"Vaginal",1,1956,-94.1513764,29.8165398
"1099","Jefferson County TX",48245,"Cesarean",2,1582,-94.1513764,29.8165398
"1100","Johnson County TX",48251,"Vaginal",1,1419,-97.3516558,32.4133566
"1101","Johnson County TX",48251,"Cesarean",2,591,-97.3516558,32.4133566
"1102","Lubbock County TX",48303,"Vaginal",1,3021,-101.7979613,33.6753624
"1103","Lubbock County TX",48303,"Cesarean",2,1106,-101.7979613,33.6753624
"1104","McLennan County TX",48309,"Vaginal",1,2506,-97.179026,31.5182285
"1105","McLennan County TX",48309,"Cesarean",2,1011,-97.179026,31.5182285
"1106","Midland County TX",48329,"Vaginal",1,1954,-101.9804613,31.8781368
